Source,Target,Traffic
WorldWideWeb,home,82035
home,ViewHeaderViewAccountIdentification,14431
WorldWideWeb,cms_000147,7418
Search,ViewParametricSearchSimpleOfferSearch?internalSearch,17843
ViewParametricSearchSimpleOfferSearch?internalSearch,ViewParametricSearchSimpleOfferSearch,332
WorldWideWeb,C11,6936
ViewHeaderViewAccountIdentification,ViewUserAccountProcessLogin,6077
ViewUserAccountProcessLogin,ViewUserAccountProcessLogin,5851
home,cms_000147,4439
home,ViewParametricSearchSimpleOfferSearch,4164
WorldWideWeb,C159510,3570
C16,C1632,361
home,home,3284
WorldWideWeb,ViewParametricSearchSimpleOfferSearch,3168
ViewHeaderViewReference,DefaultStart,3013
ViewUserAccountStart,ViewOrdersSimpleOrderSearch,2287
C159510,/CUSTOMV2/,2314
WorldWideWeb,C16,2049
ViewCartCheckoutClassic,ViewHeaderViewAccountIdentification,2049
ViewCartCheckoutClassic,ViewUserAccountShowRegisterClassic,1793
ViewHeaderViewReference,ViewHeaderViewReference,1784
WorldWideWeb,ViewHeaderViewAccountIdentification,1715
home,C1110,1661
ViewOrdersSimpleOrderSearch,ViewOrdersSimpleOrderSearch,1654
ViewHeaderViewAccountIdentification,home,1538
home,C11,1461
WorldWideWeb,C1920,1428
ViewUserAccountShowRegisterClassic,ViewUserAccountDispatch,1421
WorldWideWeb,ViewUserAccountStart,1408
cms_000147,ViewHeaderViewAccountIdentification,1388
ViewParametricSearchSimpleOfferSearch?internalSearch,ViewParametricSearchProductPaging,1360
ViewUserAccountProcessLogin,home,1320
ViewParametricSearchProductPaging,ViewParametricSearchProductPaging,1318
WorldWideWeb,C12,1310
home,ViewHeaderViewReference,1302
WorldWideWeb,EURPAL,1295
WorldWideWeb,C1140,1140
WorldWideWeb,OFF_FR_15087,1125
WorldWideWeb,C1510,1059
C11,C1110,1124
WorldWideWeb,C1738,1033
C1310,C1310,1053
ViewHeaderViewReference,home,1022
WorldWideWeb,21005G,1021
WorldWideWeb,C1310,1017
C1910,C1910,922
ViewOrderTemplateViewAll,ViewOrdersSimpleOrderSearch,920
WorldWideWeb,C1580,906
C2120,C2120,897
